topic,guessed_topic,score,trigger
Access to Justice,Access to Justice,5,332
Eastern Philosophy,Buddhism,4,554
League of Legends,League of Legends,5,346
Quantum Simulation,Quantum Simulation,5,444
Weather Report,Weather Report,5,366
Arcadia,Arcadia,5,768
Equestrian,Equestrian Events,4,328
Learning Agility,Learning Agility,5,220
Quantum Themed Literature,Quantum Themed Literature,5,226
Webcomics,Webcomics,5,853
Art Exhibitions,Art Exhibitions,5,227
Everything Is F*cked,Everything Is F*cked,5,242
Lego Ninjago,Ninjago,5,841
Quantum Theory in Philosophy,Quantum Theory in Philosophy,5,49
Workplace Policies,Workplace Policies,5,218
Ataraxia,Ataraxia,5,360
Expanding Brain,Expanding Brain,5,61
Liberal Revolution,Liberal Revolution,5,332
Ricardian Equivalence,Ricardian Equivalence,5,773
military-industrial complex,Military Strategy,2,979
Attrition,Attrition,5,520
Experimental Design,Experimental Design,5,190
Light Novels,Light Novels,5,688
Rock Documentaries,Rock Documentary,5,158
Auditory Processing,Auditory Processing,5,237
Fan Projects,Fan Projects,5,963
Longing,Longing,5,958
Roman Senate,Roman Senate,5,461
Better Call Saul,Better Call Saul,5,240
Game Updates,Patch Notes,5,703
Loyalty vs. Integrity,Loyalty vs. Integrity,5,719
Shonen Jump,Shonen Jump,5,760
Biocomplexity,Biocomplexity,5,27
Geoengineering,Geoengineering,5,870
Luke Cage,Luke Cage,5,874
Silver Surfer,Silver Surfer,5,95
Brazilian Funk,Baile Funk,5,2
Guilt,Guilt,5,183
Lullaby,Lullaby,5,900
Singer-Songwriter,Singer-Songwriter,5,811
Causal Loop Diagrams,Causal Loop Diagrams,5,179
Halo Effect in Marketing,Halo Effect in Marketing,5,677
Mass,Mass,5,194
Social Democracy,Social Democracy,5,945
Change My Mind,Change My Mind,5,166
Harlem Renaissance,Nietzsche,1,116
Memory,Memory,5,888
Streetwear,Streetwear,5,43
Chechen Wars,Chechen Wars,5,298
Healthcare Beliefs,Health Belief Model,4,609
NBA,NASCAR,2,148
Superbowl,Superbowl,5,690
Civil Rights Movement,The Civil Rights Movement,5,931
Hip Hop,Hip Hop,5,153
Narcos,Narcos,5,781
Symphonic Poem,Symphonic Poem,5,746
Class Warfare,Class Warfare,5,739
Hippies,Hippies,5,198
Niger Delta Conflict,Nigerian Cuisine,2,871
Synthetic Data,Synthetic Data,5,106
Cold War Music,Cold War Music,5,286
Historical Fiction,Historical Fiction,5,366
Oracle of Delphi,Oracle of Delphi,5,847
Talent Acquisition, Talent Acquisition,5,131
Company Retreats,Company Retreats,5,718
Homemade Lava Lamp,Lava Lamp,5,138
Pac-Man,Pac-Man,5,193
The Last Song,The Last Song,5,504
Complex Systems,Complex Systems,5,630
Hunter-Gatherers,Hunter-Gatherers,5,222
Paris Agreement,Paris Agreement,5,434
The Möbius Strip,The Möbius Strip,5,413
Confusion of Correlation and Causation,Confusion of Correlation and Causation,5,844
I Love Money,I Love Money,5,94
Pianissimo,Pianissimo,5,127
Tom Stoppard,Rosencrantz and Guildenstern Are Dead,4,517
Coping with Illness,Coping with Illness,5,306
Impact Investing,Impact Investing,5,195
Policy Making,Policy Making,5,123
Tradition vs. Modernity,Traditional vs. Modern,5,938
Cosmonaut,Cosmonaut,5,421
Impact of Social Media on Mental Health,Social media's impact on mental health,5,325
Population Genetics,Population Genetics,5,737
Transposons,Transposons,5,689
Cosplay,Cosplay,5,893
Isolation,Isolation,5,768
Portugal. The Man,Portugal. The Man,5,450
Unconscious Bias,Unconscious Bias,5,491
Cult of Personality,Cult of Personality,5,96
Israeli-Palestinian Conflict,Persian Gulf,1,871
Predicate Logic, Predicate Logic,5,659
Unfalsifiable Claim,Unfalsifiable Claim,5,377
Declaration of Independence,Gothic Literature,1,287
Jazz Documentaries,Musical Influence,3,925
Psychological Effects of Isolation,Psychological Effects of Isolation,5,711
Vietnamese War,Vietnam War,5,215
Duck Dodgers,Duck Dodgers,5,201
Lady Gaga,Lady Gaga,5,957
Quantum Mechanics,Quantum Mechanics,5,522
Vygotsky's Zone of Proximal Development,Vygotsky's Zone of Proximal Development,5,159
